카메라 번호,주소,상세 설명,측정 시작 시간,측정 종료 시간,카메라 통과 인원 (IN),카메라 통과 인원 (OUT),데이터입력시간
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:30,2020-03-01 4:40,70,30,2020-03-01 4:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:30,2020-03-01 4:40,64,29,2020-03-01 4:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:30,2020-03-01 4:40,29,50,2020-03-01 4:40
2,계동길 69,계동교회 앞,2020-03-01 4:40,2020-03-01 4:50,53,63,2020-03-01 4:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:40,2020-03-01 4:50,70,30,2020-03-01 4:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:40,2020-03-01 4:50,64,29,2020-03-01 4:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:40,2020-03-01 4:50,29,50,2020-03-01 4:50
2,계동길 69,계동교회 앞,2020-03-01 4:50,2020-03-01 5:00,54,64,2020-03-01 5:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:50,2020-03-01 5:00,76,31,2020-03-01 5:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:50,2020-03-01 5:00,64,29,2020-03-01 5:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:50,2020-03-01 5:00,29,50,2020-03-01 5:00
2,계동길 69,계동교회 앞,2020-03-01 5:00,2020-03-01 5:10,55,64,2020-03-01 5:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:00,2020-03-01 5:10,76,31,2020-03-01 5:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:00,2020-03-01 5:10,65,29,2020-03-01 5:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:00,2020-03-01 5:10,31,50,2020-03-01 5:10
2,계동길 69,계동교회 앞,2020-03-01 5:10,2020-03-01 5:20,55,64,2020-03-01 5:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:10,2020-03-01 5:20,79,32,2020-03-01 5:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:10,2020-03-01 5:20,65,29,2020-03-01 5:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:10,2020-03-01 5:20,31,55,2020-03-01 5:20
2,계동길 69,계동교회 앞,2020-03-01 5:20,2020-03-01 5:30,55,64,2020-03-01 5:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:20,2020-03-01 5:30,79,32,2020-03-01 5:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:20,2020-03-01 5:30,65,29,2020-03-01 5:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:20,2020-03-01 5:30,31,57,2020-03-01 5:30
2,계동길 69,계동교회 앞,2020-03-01 5:30,2020-03-01 5:40,56,71,2020-03-01 5:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:30,2020-03-01 5:40,79,32,2020-03-01 5:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:30,2020-03-01 5:40,65,29,2020-03-01 5:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:30,2020-03-01 5:40,31,57,2020-03-01 5:40
2,계동길 69,계동교회 앞,2020-03-01 5:40,2020-03-01 5:50,57,80,2020-03-01 5:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:40,2020-03-01 5:50,79,32,2020-03-01 5:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:40,2020-03-01 5:50,69,30,2020-03-01 5:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:40,2020-03-01 5:50,33,59,2020-03-01 5:50
2,계동길 69,계동교회 앞,2020-03-01 5:50,2020-03-01 6:00,68,92,2020-03-01 6:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 5:50,2020-03-01 6:00,79,33,2020-03-01 6:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 5:50,2020-03-01 6:00,69,30,2020-03-01 6:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 5:50,2020-03-01 6:00,34,59,2020-03-01 6:00
2,계동길 69,계동교회 앞,2020-03-01 6:00,2020-03-01 6:10,69,101,2020-03-01 6:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:00,2020-03-01 6:10,79,33,2020-03-01 6:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:00,2020-03-01 6:10,69,30,2020-03-01 6:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:00,2020-03-01 6:10,34,59,2020-03-01 6:10
2,계동길 69,계동교회 앞,2020-03-01 6:10,2020-03-01 6:20,69,102,2020-03-01 6:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:10,2020-03-01 6:20,79,33,2020-03-01 6:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:10,2020-03-01 6:20,79,33,2020-03-01 6:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:10,2020-03-01 6:20,40,66,2020-03-01 6:20
2,계동길 69,계동교회 앞,2020-03-01 6:20,2020-03-01 6:30,70,106,2020-03-01 6:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:20,2020-03-01 6:30,87,33,2020-03-01 6:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:20,2020-03-01 6:30,85,33,2020-03-01 6:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:20,2020-03-01 6:30,40,72,2020-03-01 6:30
2,계동길 69,계동교회 앞,2020-03-01 6:30,2020-03-01 6:40,71,117,2020-03-01 6:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:30,2020-03-01 6:40,87,33,2020-03-01 6:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:30,2020-03-01 6:40,85,33,2020-03-01 6:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:30,2020-03-01 6:40,41,76,2020-03-01 6:40
2,계동길 69,계동교회 앞,2020-03-01 6:40,2020-03-01 6:50,73,130,2020-03-01 6:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:40,2020-03-01 6:50,90,34,2020-03-01 6:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:40,2020-03-01 6:50,85,37,2020-03-01 6:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:40,2020-03-01 6:50,41,80,2020-03-01 6:50
2,계동길 69,계동교회 앞,2020-03-01 6:50,2020-03-01 7:00,76,136,2020-03-01 7:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 6:50,2020-03-01 7:00,92,34,2020-03-01 7:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 6:50,2020-03-01 7:00,92,46,2020-03-01 7:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 6:50,2020-03-01 7:00,41,82,2020-03-01 7:00
2,계동길 69,계동교회 앞,2020-03-01 7:00,2020-03-01 7:10,79,146,2020-03-01 7:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:00,2020-03-01 7:10,93,37,2020-03-01 7:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:00,2020-03-01 7:10,94,49,2020-03-01 7:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:00,2020-03-01 7:10,45,82,2020-03-01 7:10
2,계동길 69,계동교회 앞,2020-03-01 7:10,2020-03-01 7:20,86,165,2020-03-01 7:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:10,2020-03-01 7:20,97,37,2020-03-01 7:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:10,2020-03-01 7:20,94,50,2020-03-01 7:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:10,2020-03-01 7:20,47,92,2020-03-01 7:20
2,계동길 69,계동교회 앞,2020-03-01 7:20,2020-03-01 7:30,113,184,2020-03-01 7:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:20,2020-03-01 7:30,98,39,2020-03-01 7:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:20,2020-03-01 7:30,96,52,2020-03-01 7:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:20,2020-03-01 7:30,48,93,2020-03-01 7:30
2,계동길 69,계동교회 앞,2020-03-01 7:30,2020-03-01 7:40,137,214,2020-03-01 7:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:30,2020-03-01 7:40,102,39,2020-03-01 7:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:30,2020-03-01 7:40,98,52,2020-03-01 7:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:30,2020-03-01 7:40,49,93,2020-03-01 7:40
2,계동길 69,계동교회 앞,2020-03-01 7:40,2020-03-01 7:50,179,278,2020-03-01 7:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:40,2020-03-01 7:50,106,39,2020-03-01 7:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:40,2020-03-01 7:50,105,53,2020-03-01 7:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:40,2020-03-01 7:50,52,98,2020-03-01 7:50
2,계동길 69,계동교회 앞,2020-03-01 7:50,2020-03-01 8:00,195,318,2020-03-01 8:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 7:50,2020-03-01 8:00,113,42,2020-03-01 8:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 7:50,2020-03-01 8:00,107,56,2020-03-01 8:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 7:50,2020-03-01 8:00,53,101,2020-03-01 8:00
2,계동길 69,계동교회 앞,2020-03-01 8:00,2020-03-01 8:10,222,369,2020-03-01 8:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:00,2020-03-01 8:10,119,44,2020-03-01 8:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:00,2020-03-01 8:10,108,56,2020-03-01 8:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:00,2020-03-01 8:10,53,104,2020-03-01 8:10
2,계동길 69,계동교회 앞,2020-03-01 8:10,2020-03-01 8:20,253,418,2020-03-01 8:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:10,2020-03-01 8:20,119,44,2020-03-01 8:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:10,2020-03-01 8:20,109,58,2020-03-01 8:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:10,2020-03-01 8:20,53,106,2020-03-01 8:20
2,계동길 69,계동교회 앞,2020-03-01 8:20,2020-03-01 8:30,286,458,2020-03-01 8:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:20,2020-03-01 8:30,119,44,2020-03-01 8:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:20,2020-03-01 8:30,111,58,2020-03-01 8:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:20,2020-03-01 8:30,59,106,2020-03-01 8:30
2,계동길 69,계동교회 앞,2020-03-01 8:30,2020-03-01 8:40,320,502,2020-03-01 8:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:30,2020-03-01 8:40,133,45,2020-03-01 8:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:30,2020-03-01 8:40,111,60,2020-03-01 8:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:30,2020-03-01 8:40,64,106,2020-03-01 8:40
2,계동길 69,계동교회 앞,2020-03-01 8:40,2020-03-01 8:50,343,527,2020-03-01 8:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:40,2020-03-01 8:50,137,48,2020-03-01 8:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:40,2020-03-01 8:50,113,61,2020-03-01 8:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:40,2020-03-01 8:50,72,113,2020-03-01 8:50
2,계동길 69,계동교회 앞,2020-03-01 8:50,2020-03-01 9:00,392,573,2020-03-01 9:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 8:50,2020-03-01 9:00,151,51,2020-03-01 9:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 8:50,2020-03-01 9:00,113,69,2020-03-01 9:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 8:50,2020-03-01 9:00,74,125,2020-03-01 9:00
2,계동길 69,계동교회 앞,2020-03-01 9:00,2020-03-01 9:10,432,600,2020-03-01 9:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 9:00,2020-03-01 9:10,163,54,2020-03-01 9:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 9:00,2020-03-01 9:10,113,77,2020-03-01 9:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 9:00,2020-03-01 9:10,74,125,2020-03-01 9:10
2,계동길 69,계동교회 앞,2020-03-01 9:10,2020-03-01 9:20,484,642,2020-03-01 9:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 9:10,2020-03-01 9:20,183,56,2020-03-01 9:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 9:10,2020-03-01 9:20,113,86,2020-03-01 9:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 9:10,2020-03-01 9:20,76,135,2020-03-01 9:20
2,계동길 69,계동교회 앞,2020-03-01 9:20,2020-03-01 9:30,516,676,2020-03-01 9:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 9:20,2020-03-01 9:30,204,56,2020-03-01 9:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 9:20,2020-03-01 9:30,117,97,2020-03-01 9:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 9:20,2020-03-01 9:30,82,141,2020-03-01 9:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 9:30,2020-03-01 9:40,133,108,2020-03-01 9:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 9:30,2020-03-01 9:40,90,143,2020-03-01 9:40
2,계동길 69,계동교회 앞,2020-03-01 9:30,2020-03-01 9:40,575,728,2020-03-01 9:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 9:30,2020-03-01 9:40,210,64,2020-03-01 9:40
2,계동길 69,계동교회 앞,2020-03-01 9:40,2020-03-01 9:50,598,752,2020-03-01 9:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 9:40,2020-03-01 9:50,212,68,2020-03-01 9:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 9:40,2020-03-01 9:50,133,120,2020-03-01 9:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 9:40,2020-03-01 9:50,94,148,2020-03-01 9:50
