BASE_YEAR,BASE_MONTH,GU_DC,AGE_DC,MV_CNT
2019,6,부산진구,70대,1958
2019,6,북구,10대,4283
2019,6,북구,20대,2992
2019,6,북구,30대,2828
2019,6,북구,40대,3553
2019,6,북구,50대,3990
2019,6,북구,60대,2396
2019,6,북구,70대,1764
2019,6,사상구,10대,3437
2019,6,사상구,20대,3214
2019,6,사상구,30대,3021
2019,6,사상구,40대,3463
2019,6,사상구,50대,4196
2019,6,사상구,60대,2493
2019,6,사상구,70대,1559
2019,6,사하구,10대,3839
2019,6,사하구,20대,2709
2019,6,사하구,30대,2884
2019,6,사하구,40대,3251
2019,6,사하구,50대,3633
2019,6,사하구,60대,2383
2019,6,사하구,70대,1726
2019,6,서구,10대,1230
2019,6,서구,20대,1077
2019,6,서구,30대,1071
2019,6,서구,40대,1304
2019,6,서구,50대,1545
2019,6,서구,60대,1271
2019,6,서구,70대,1148
2019,6,수영구,10대,2795
2019,6,수영구,20대,2428
2019,6,수영구,30대,2679
2019,6,수영구,40대,2768
2019,6,수영구,50대,3015
2019,6,수영구,60대,2407
2019,6,수영구,70대,1892
2019,6,연제구,10대,3119
2019,6,연제구,20대,2142
2019,6,연제구,30대,2552
2019,6,연제구,40대,2957
2019,6,연제구,50대,3112
2019,6,연제구,60대,2222
2019,6,연제구,70대,1675
2019,6,영도구,10대,1642
2019,6,영도구,20대,1421
2019,6,영도구,30대,1319
2019,6,영도구,40대,1638
2019,6,영도구,50대,2002
2019,6,영도구,60대,1651
2019,6,영도구,70대,1482
2019,6,중구,10대,944
2019,6,중구,20대,1280
2019,6,중구,30대,1353
2019,6,중구,40대,1485
2019,6,중구,50대,1668
2019,6,중구,60대,1268
2019,6,중구,70대,1002
2019,6,해운대구,10대,4937
2019,6,해운대구,20대,3178
2019,6,해운대구,30대,3638
2019,6,해운대구,40대,4421
2019,6,해운대구,50대,4126
2019,6,해운대구,60대,2645
2019,6,해운대구,70대,2115
2019,7,강서구,10대,2442
2019,7,강서구,20대,2110
2019,7,강서구,30대,3788
2019,7,강서구,40대,3190
2019,7,강서구,50대,3114
2019,7,강서구,60대,1681
2019,7,강서구,70대,955
2019,7,금정구,10대,2342
2019,7,금정구,20대,2231
2019,7,금정구,30대,1754
2019,7,금정구,40대,2132
2019,7,금정구,50대,2537
2019,7,금정구,60대,1780
2019,7,금정구,70대,1394
2019,7,기장군,10대,6370
2019,7,기장군,20대,2930
2019,7,기장군,30대,5213
2019,7,기장군,40대,5093
2019,7,기장군,50대,4431
2019,7,기장군,60대,3069
2019,7,기장군,70대,2539
2019,7,남구,10대,2829
2019,7,남구,20대,2198
2019,7,남구,30대,2112
2019,7,남구,40대,2515
2019,7,남구,50대,2553
2019,7,남구,60대,1952
2019,7,남구,70대,1600
2019,7,동구,10대,1008
2019,7,동구,20대,1043
2019,7,동구,30대,1210
2019,7,동구,40대,1380
2019,7,동구,50대,1596
2019,7,동구,60대,1276
2019,7,동구,70대,1078
2019,7,동래구,10대,3862
2019,7,동래구,20대,2617
2019,7,동래구,30대,2812
2019,7,동래구,40대,3383
2019,7,동래구,50대,3640
2019,7,동래구,60대,2632
2019,7,동래구,70대,1973
2019,7,부산진구,10대,3164
2019,7,부산진구,20대,3244
2019,7,부산진구,30대,2974
2019,7,부산진구,40대,3043
2019,7,부산진구,50대,3323
2019,7,부산진구,60대,2416
2019,7,부산진구,70대,1964
2019,7,북구,10대,4243
2019,7,북구,20대,2954
2019,7,북구,30대,2758
2019,7,북구,40대,3483
2019,7,북구,50대,3946
2019,7,북구,60대,2401
2019,7,북구,70대,1758
2019,7,사상구,10대,3341
2019,7,사상구,20대,3005
2019,7,사상구,30대,3012
2019,7,사상구,40대,3482
2019,7,사상구,50대,4238
2019,7,사상구,60대,2505
2019,7,사상구,70대,1567
2019,7,사하구,10대,3787
2019,7,사하구,20대,2592
2019,7,사하구,30대,2860
2019,7,사하구,40대,3226
2019,7,사하구,50대,3635
2019,7,사하구,60대,2393
2019,7,사하구,70대,1717
2019,7,서구,10대,1203
2019,7,서구,20대,1009
2019,7,서구,30대,1065
2019,7,서구,40대,1289
2019,7,서구,50대,1535
2019,7,서구,60대,1269
2019,7,서구,70대,1148
2019,7,수영구,10대,2865
2019,7,수영구,20대,2463
2019,7,수영구,30대,2665
2019,7,수영구,40대,2764
2019,7,수영구,50대,3021
2019,7,수영구,60대,2435
2019,7,수영구,70대,1919
2019,7,연제구,10대,3051
2019,7,연제구,20대,2172
2019,7,연제구,30대,2535
2019,7,연제구,40대,2944
2019,7,연제구,50대,3121
2019,7,연제구,60대,2236
2019,7,연제구,70대,1679
2019,7,영도구,10대,1570
2019,7,영도구,20대,1260
2019,7,영도구,30대,1343
2019,7,영도구,40대,1660
2019,7,영도구,50대,2027
2019,7,영도구,60대,1682
2019,7,영도구,70대,1512
2019,7,중구,10대,947
2019,7,중구,20대,1289
2019,7,중구,30대,1322
2019,7,중구,40대,1472
2019,7,중구,50대,1622
2019,7,중구,60대,1236
2019,7,중구,70대,969
2019,7,해운대구,10대,4987
2019,7,해운대구,20대,3250
2019,7,해운대구,30대,3573
2019,7,해운대구,40대,4378
2019,7,해운대구,50대,4084
2019,7,해운대구,60대,2621
2019,7,해운대구,70대,2095
2019,8,강서구,10대,2446
2019,8,강서구,20대,2074
2019,8,강서구,30대,3735
2019,8,강서구,40대,3113
2019,8,강서구,50대,3030
2019,8,강서구,60대,1657
2019,8,강서구,70대,960
2019,8,금정구,10대,2418
2019,8,금정구,20대,2305
2019,8,금정구,30대,1780
2019,8,금정구,40대,2158
2019,8,금정구,50대,2572
2019,8,금정구,60대,1806
2019,8,금정구,70대,1401
2019,8,기장군,10대,7152
2019,8,기장군,20대,3246
2019,8,기장군,30대,6054
2019,8,기장군,40대,5815
2019,8,기장군,50대,4888
2019,8,기장군,60대,3421
2019,8,기장군,70대,2775
2019,8,남구,10대,2856
2019,8,남구,20대,2260
2019,8,남구,30대,2092
2019,8,남구,40대,2480
2019,8,남구,50대,2511
2019,8,남구,60대,1911
2019,8,남구,70대,1568
2019,8,동구,10대,1021
2019,8,동구,20대,1073
2019,8,동구,30대,1214
2019,8,동구,40대,1368
2019,8,동구,50대,1586
2019,8,동구,60대,1266
2019,8,동구,70대,1076
2019,8,동래구,10대,3741
2019,8,동래구,20대,2572
2019,8,동래구,30대,2761
2019,8,동래구,40대,3317
2019,8,동래구,50대,3578
2019,8,동래구,60대,2587
2019,8,동래구,70대,1946
2019,8,부산진구,10대,3219
2019,8,부산진구,20대,3335
2019,8,부산진구,30대,2969
2019,8,부산진구,40대,3029
2019,8,부산진구,50대,3295
2019,8,부산진구,60대,2398
2019,8,부산진구,70대,1950
2019,8,북구,10대,4123
2019,8,북구,20대,2956
2019,8,북구,30대,2754
2019,8,북구,40대,3447
2019,8,북구,50대,3917
2019,8,북구,60대,2368
2019,8,북구,70대,1737
2019,8,사상구,10대,3316
2019,8,사상구,20대,3038
2019,8,사상구,30대,2950
2019,8,사상구,40대,3395
2019,8,사상구,50대,4110
2019,8,사상구,60대,2445
2019,8,사상구,70대,1535
2019,8,사하구,10대,3742
2019,8,사하구,20대,2619
2019,8,사하구,30대,2849
2019,8,사하구,40대,3197
2019,8,사하구,50대,3600
2019,8,사하구,60대,2376
2019,8,사하구,70대,1718
2019,8,서구,10대,1158
2019,8,서구,20대,1037
2019,8,서구,30대,1056
2019,8,서구,40대,1268
2019,8,서구,50대,1512
2019,8,서구,60대,1242
2019,8,서구,70대,1125
2019,8,수영구,10대,2806
2019,8,수영구,20대,2532
2019,8,수영구,30대,2659
2019,8,수영구,40대,2732
2019,8,수영구,50대,2984
2019,8,수영구,60대,2396
2019,8,수영구,70대,1886
2019,8,연제구,10대,3083
2019,8,연제구,20대,2196
2019,8,연제구,30대,2533
2019,8,연제구,40대,2961
2019,8,연제구,50대,3114
2019,8,연제구,60대,2244
2019,8,연제구,70대,1684
2019,8,영도구,10대,1656
2019,8,영도구,20대,1401
2019,8,영도구,30대,1340
2019,8,영도구,40대,1652
2019,8,영도구,50대,2022
2019,8,영도구,60대,1686
2019,8,영도구,70대,1477
2019,8,중구,10대,1036
2019,8,중구,20대,1396
2019,8,중구,30대,1357
2019,8,중구,40대,1500
2019,8,중구,50대,1656
2019,8,중구,60대,1258
2019,8,중구,70대,998
2019,8,해운대구,10대,5069
2019,8,해운대구,20대,3371
2019,8,해운대구,30대,3687
2019,8,해운대구,40대,4453
2019,8,해운대구,50대,4111
2019,8,해운대구,60대,2628
2019,8,해운대구,70대,2092
2019,9,강서구,10대,2449
2019,9,강서구,20대,1980
2019,9,강서구,30대,3786
2019,9,강서구,40대,3174
2019,9,강서구,50대,3011
2019,9,강서구,60대,1683
2019,9,강서구,70대,946
2019,9,금정구,10대,2620
2019,9,금정구,20대,2653
2019,9,금정구,30대,1845
2019,9,금정구,40대,2208
2019,9,금정구,50대,2578
2019,9,금정구,60대,1830
2019,9,금정구,70대,1408
2019,9,기장군,10대,7084
2019,9,기장군,20대,3096
2019,9,기장군,30대,6098
2019,9,기장군,40대,5819
2019,9,기장군,50대,4849
2019,9,기장군,60대,3372
2019,9,기장군,70대,2711
2019,9,남구,10대,3099
2019,9,남구,20대,2551
2019,9,남구,30대,2142
2019,9,남구,40대,2567
2019,9,남구,50대,2570
2019,9,남구,60대,1954
2019,9,남구,70대,1578
2019,9,동구,10대,1062
2019,9,동구,20대,1017
2019,9,동구,30대,1227
2019,9,동구,40대,1393
2019,9,동구,50대,1595
2019,9,동구,60대,1266
2019,9,동구,70대,1076
2019,9,동래구,10대,3897
2019,9,동래구,20대,2524
2019,9,동래구,30대,2865
2019,9,동래구,40대,3454
2019,9,동래구,50대,3696
2019,9,동래구,60대,2675
2019,9,동래구,70대,1980
